"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL242661";"";"0";"632.89";"2";"6.27";"20";"CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2ccc(OC)cc2)Cc3ccc(OC)cc3";"IC50";"'='";"51.1";"nM";"7.29";"";"";"UO_0000065";"11.52";"0.22";"1.02";"8.77";"False";"CHEMBL895407";"Inhibition of human recombinant acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148814";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL242190";"";"0";"660.86";"2";"5.32";"15";"CCN(Cc1ccccc1OC)C(=O)CCCCCNC2=CC(=O)C(=CC2=O)NCCCCCC(=O)N(CC)Cc3ccccc3OC";"IC50";"'='";"11600";"nM";"4.94";"";"";"UO_0000065";"7.47";"0.14";"-0.38";"4.21";"False";"CHEMBL895407";"Inhibition of human recombinant acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148814";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL230434";"";"0";"602.91";"2";"8.69";"8";"CCN(CCCCCCNc1ccc(NCCCCCCN(CC)Cc2ccccc2OC)cc1)Cc3ccccc3OC";"IC50";"'='";"42.5";"nM";"7.37";"";"";"UO_0000065";"12.23";"0.23";"-1.32";"15.04";"False";"CHEMBL895407";"Inhibition of human recombinant acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148814";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL243062";"";"0";"790.68";"2";"7.71";"5";"CCN(CCCCCCNC1=C(Br)C(=O)C(=C(Br)C1=O)NCCCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC";"IC50";"'='";"2.66";"nM";"8.57";"";"";"UO_0000065";"10.85";"0.24";"0.87";"10.31";"False";"CHEMBL895407";"Inhibition of human recombinant acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148814";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL243055";"";"0";"668.87";"2";"6.86";"3";"CCN(CCCCCCNC1=C(F)C(=O)C(=C(F)C1=O)NCCCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC";"IC50";"'='";"5.17";"nM";"8.29";"";"";"UO_0000065";"12.39";"0.24";"1.43";"9.97";"False";"CHEMBL895407";"Inhibition of human recombinant acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148814";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL396247";"";"0";"445.52";"0";"4.47";"17";"COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(CCO)Cc4ccccc4)cc3";"IC50";"'='";"49.3";"nM";"7.31";"";"";"UO_0000065";"16.4";"0.3";"2.84";"10.13";"False";"CHEMBL894085";"Inhibition of human recombinant AChE";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148720";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL244415";"";"0";"445.52";"1";"5.12";"15";"COc1ccc(CN(C)Cc2ccc(cc2)C3=Cc4cc(OC)c(OC)cc4OC3=O)cc1";"IC50";"'='";"2260";"nM";"5.65";"";"";"UO_0000065";"12.67";"0.23";"0.53";"9.23";"False";"CHEMBL894085";"Inhibition of human recombinant AChE";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148720";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL413794";"";"0";"385.46";"1";"5.1";"5";"COc1ccc2OC(=O)C(=Cc2c1)c3cccc(CN(C)Cc4ccccc4)c3";"IC50";"'='";"303";"nM";"6.52";"";"";"UO_0000065";"16.91";"0.31";"1.42";"15.27";"False";"CHEMBL894085";"Inhibition of human recombinant AChE";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148720";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL314398";"";"0";"548.54";"1";"5.56";"10";"[Br-].COC(CC(=O)c1cc2cc(OC)c(OC)cc2s1)C3CC[N+](C)(Cc4ccccc4)CC3";"IC50";"'='";"120";"nM";"6.92";"";"";"UO_0000065";"14.77";"0.29";"1.36";"15.46";"False";"CHEMBL644831";"Concentration required for the inhibition of acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135325";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL390083";"";"0";"403.48";"0";"4.86";"15";"COc1ccccc1CN(C)CCCOc2ccc3C(=O)c4ccccc4Oc3c2";"IC50";"'='";"3400";"nM";"5.47";"";"";"UO_0000065";"13.55";"0.25";"0.61";"10.53";"False";"CHEMBL915960";"Inhibition of human erythrocyte AchE";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144481";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";""
"CHEMBL225611";"";"0";"387.48";"1";"5.24";"4";"CN(CCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4";"IC50";"'='";"6250";"nM";"5.2";"";"";"UO_0000065";"13.43";"0.25";"-0.04";"12.19";"False";"CHEMBL915960";"Inhibition of human erythrocyte AchE";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144481";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";""
"CHEMBL238572";"";"0";"380.37";"1";"5.27";"13a";"CC1CCCCN1C(=O)Oc2ccc(Oc3ccc(cn3)C(F)(F)F)cc2";"IC50";"'>'";"50000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL900744";"Inhibition of acetylcholine esterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137574";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL241761";"";"0";"422.79";"1";"6.18";"12f";"CN(C(=O)Oc1ccc(Oc2ccc(cn2)C(F)(F)F)cc1)c3ccc(Cl)cc3";"IC50";"'>'";"50000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL900744";"Inhibition of acetylcholine esterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137574";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL219406";"";"0";"377.49";"0";"4.25";"8";"CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(C)cc4";"IC50";"'='";"169";"nM";"6.77";"";"";"UO_0000065";"17.94";"0.33";"2.52";"8.77";"True";"CHEMBL913362";"Inhibition of human erythrocyte AChE";"B";"BAO_0000357";"single protein format";"Electrophorus electricus";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138213";"1";"Scientific Literature";"J. Med. Chem.";"2006";""
"CHEMBL219405";"";"0";"408.46";"0";"3.85";"7";"CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(cc4)[N+](=O)[O-]";"IC50";"'='";"309";"nM";"6.51";"";"";"UO_0000065";"15.94";"0.3";"2.66";"5.41";"True";"CHEMBL913362";"Inhibition of human erythrocyte AChE";"B";"BAO_0000357";"single protein format";"Electrophorus electricus";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138213";"1";"Scientific Literature";"J. Med. Chem.";"2006";""
"CHEMBL1202874";"";"0";"462.49";"1";"5.54";"12";"Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Sc3ccc(nn3)c4ccccc4";"IC50";"'='";"470";"nM";"6.33";"";"";"UO_0000065";"16.24";"0.31";"0.79";"21.81";"False";"CHEMBL644839";"In vitro inhibition of acetylcholinesterase from human erythrocytes";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134774";"1";"Scientific Literature";"J. Med. Chem.";"2001";""
"CHEMBL609977";"";"0";"1008.87";"2";"8.51";"20";"[I-].[I-].CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1[N+](=O)[O-])Cc2ccccc2[N+](=O)[O-]";"IC50";"'='";"12.3";"nM";"7.91";"";"";"UO_0000065";"10.48";"0.2";"-0.6";"6.23";"False";"CHEMBL638449";"Inhibitory concentration against acetylcholinesterase from human erythrocytes";"B";"BAO_0000019";"assay format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136713";"1";"Scientific Literature";"J. Med. Chem.";"2003";""
"CHEMBL132260";"";"0";"200.24";"0";"2.14";"1b";"Nc1c2CCCOc2nc3ccccc13";"IC50";"'='";"266";"nM";"6.58";"";"";"UO_0000065";"32.84";"0.6";"4.44";"13.66";"True";"CHEMBL644109";"In vitro inhibition of acetylcholinesterase isolated from human erythrocytes.";"B";"BAO_0000019";"assay format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126001";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1991";""
"CHEMBL61905";"";"0";"322.25";"0";"3.46";"19";"[Br-].COc1ccccc1[N+](C)(C)Cc2ccccc2";"IC50";"'>'";"10000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL645004";"In vitro inhibitory activity against human recombinant AChE";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135872";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL539045";"";"0";"364.87";"0";"3.31";"12i";"Cl.CNC(=O)Oc1cccc(CN(C)CCCOc2ccccc2)c1";"IC50";"'='";"79.6";"nM";"7.1";"";"";"UO_0000065";"21.62";"0.4";"3.79";"13.97";"False";"CHEMBL644104";"In vitro inhibition of human erythrocyte Acetylcholinesterase.";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134674";"1";"Scientific Literature";"J. Med. Chem.";"2001";""
"CHEMBL340171";"";"0";"615.77";"2";"6.22";"15b";"CN(CCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4cccc(OC(=O)NCCCCCCCN5CCOCC5)c4";"IC50";"'='";"26.2";"nM";"7.58";"";"";"UO_0000065";"12.31";"0.23";"1.36";"8.11";"True";"CHEMBL644104";"In vitro inhibition of human erythrocyte Acetylcholinesterase.";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134674";"1";"Scientific Literature";"J. Med. Chem.";"2001";""
"CHEMBL1834065";"";"0";"419.53";"0";"4.3";"6h";"CC(C)(C)OC(=O)N1CCN(CC1)c2nccc(NCc3cccc4ccccc34)n2";"IC50";"'='";"50800";"nM";"4.29";"";"";"UO_0000065";"10.24";"0.19";"-0.01";"6.08";"False";"CHEMBL1837219";"Inhibition of human AChE by Ellman's assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833829";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1834066";"";"0";"319.41";"0";"2.65";"6i";"C(Nc1ccnc(n1)N2CCNCC2)c3cccc4ccccc34";"IC50";"'='";"17500";"nM";"4.76";"";"";"UO_0000065";"14.89";"0.27";"2.11";"8.96";"False";"CHEMBL1837219";"Inhibition of human AChE by Ellman's assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833829";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1834067";"";"0";"363.47";"0";"2.36";"6j";"OCCN1CCN(CC1)c2nccc(NCc3cccc4ccccc34)n2";"IC50";"'='";"9800";"nM";"5.01";"";"";"UO_0000065";"13.78";"0.25";"2.65";"7.76";"False";"CHEMBL1837219";"Inhibition of human AChE by Ellman's assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833829";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL99655";"";"0";"413.52";"1";"5.24";"(+)10 (+)-N(8)-benzylnorphenserine";"CN1CC[C@@]2(C)C1N(Cc3ccccc3)c4ccc(OC(=O)Nc5ccccc5)cc24";"IC50";"'='";"11223";"nM";"4.95";"";"";"UO_0000065";"11.97";"0.22";"-0.29";"11.05";"False";"CHEMBL644626";"Inhibition of human acetylcholinesterase from erythrocytes (RBC)";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130392";"1";"Scientific Literature";"J. Med. Chem.";"1997";""
